Date,Open,High,Low,Close
2026-01-01,976.5,976.5,976.5,976.5
2026-01-02,976.5,976.5,976.5,976.5
2026-01-03,976.5,976.5,976.5,976.5
2026-01-04,976.5,976.5,976.5,976.5
2026-01-05,993.1,1001,989,1000
2026-01-06,1002.8,1007,1001.03,1004.95
2026-01-07,998,1000.2,992.19,996.21
2026-01-08,993,999.5,991,999.3
2026-01-09,1003.4,1010,1001,1009.96
2026-01-10,1003.4,1010,1001,1007.19
2026-01-11,1003.4,1010,1001,1007.19
2026-01-12,1024.49,1031.6,1022.28,1030
2026-01-13,1025,1035.5,1024,1032.85
2026-01-14,1037.16,1039.5,1030.8,1035.25
2026-01-15,1033.66,1036,1026.5,1032.43
2026-01-16,1034.99,1034.99,1018.48,1026
2026-01-17,1034.99,1034.99,1018.48,1031.5
2026-01-18,1034.99,1034.99,1018.48,1031.5
2026-01-19,1045,1046.62,1043.61,1045.88
2026-01-20,1059,1065,1055,1062.6
2026-01-21,1090.5,1093.8,1079.8,1087.4
2026-01-22,1086,1091,1080.15,1091
2026-01-23,1106.59,1112.5,1102,1111.5
2026-01-24,1106.59,1118.6,1102,1117.1
2026-01-25,1106.59,1118.6,1102,1117.1
2026-01-26,1143.5,1147.8,1137,1144
2026-01-27,1142,1145,1131,1140
2026-01-28,1180,1188.88,1177.08,1183.8
2026-01-29,1237.86,1248.46,1140,1172
2026-01-30,1158,1158,1123.12,1139
2026-01-31,1158,1158,1071,1072.91
